SNPS,MAPPED_GENE,DISEASE/TRAIT,P-VALUE,OR or BETA,95% CI (TEXT),STUDY ACCESSION,PUBMEDID
rs35575195,LINC01517,Type 2 diabetes,1e-10,,,GCST90492734,38374256
rs75888368,LINC02628 - LINC00838,Type 2 diabetes,4e-08,,,GCST90492734,38374256
rs2393960,ZNF487 - ZNF239,Type 2 diabetes,2e-08,,,GCST90492734,38374256
rs2438988,FRMPD2,Type 2 diabetes,2e-10,,,GCST90492734,38374256
rs12570156,A1CF,Type 2 diabetes,1e-08,,,GCST90492734,38374256
rs11598843,PCDH15,Type 2 diabetes,7e-09,,,GCST90492734,38374256
rs76804656,ARID5B,Type 2 diabetes,2e-16,,,GCST90492734,38374256
rs1046521,NRBF2,Type 2 diabetes,4e-13,,,GCST90492734,38374256
rs59050225,JMJD1C,Type 2 diabetes,9e-22,,,GCST90492734,38374256
rs2664419,TET1,Type 2 diabetes,4e-18,,,GCST90492734,38374256
rs17476364,HK1,Type 2 diabetes,2e-11,,,GCST90492734,38374256
rs2999170,TMEM256P1 - NEUROG3,Type 2 diabetes,1e-10,,,GCST90492734,38374256
rs187201965,TMEM256P1 - NEUROG3,Type 2 diabetes,1e-09,,,GCST90492734,38374256
rs177045,TMEM256P1 - NEUROG3,Type 2 diabetes,5e-38,,,GCST90492734,38374256
rs41277236,NEUROG3,Type 2 diabetes,5e-11,,,GCST90492734,38374256
rs190597808,MTND1P20,Type 2 diabetes,1e-11,,,GCST90492734,38374256
rs34673046,LINC02651,Type 2 diabetes,2e-16,,,GCST90492734,38374256
rs2395023,LINC02651 - RPL5P26,Type 2 diabetes,1e-08,,,GCST90492734,38374256
rs2812539,LINC02651 - RPL5P26,Type 2 diabetes,6e-21,,,GCST90492734,38374256
rs1683935,SGPL1,Type 2 diabetes,2e-10,,,GCST90492734,38374256
rs7080579,GLUD1P3 - SEC24C,Type 2 diabetes,3e-10,,,GCST90492734,38374256
rs3012060,LRMDA,Type 2 diabetes,3e-15,,,GCST90492734,38374256
rs7099048,LRMDA,Type 2 diabetes,5e-09,,,GCST90492734,38374256
rs3844124,LINC00856 - ZMIZ1-AS1,Type 2 diabetes,1e-08,,,GCST90492734,38374256
rs77969702,ZMIZ1,Type 2 diabetes,1e-08,,,GCST90492734,38374256
rs2257883,RPSAP52,Type 2 diabetes,1e-76,,,GCST90492734,38374256
rs2257883,RPSAP52,Type 2 diabetes,1e-76,,,GCST90492734,38374256
rs116257126,HMGA2,Type 2 diabetes,2e-15,,,GCST90492734,38374256
rs116979298,HMGA2,Type 2 diabetes,2e-12,,,GCST90492734,38374256
rs8756,HMGA2,Type 2 diabetes,7e-39,,,GCST90492734,38374256
rs7397918,LINC02425 - RPL21P18,Type 2 diabetes,2e-13,,,GCST90492734,38374256
rs3201,FRS2,Type 2 diabetes,2e-08,,,GCST90492734,38374256
rs10879248,PTPRR - TSPAN8,Type 2 diabetes,3e-33,,,GCST90492734,38374256
rs1533104,TSPAN8,Type 2 diabetes,3e-13,,,GCST90492734,38374256
rs11114650,LIN7A,Type 2 diabetes,1e-08,,,GCST90492734,38374256
rs999976,LINC02426 - CCDC59,Type 2 diabetes,7e-10,,,GCST90492734,38374256
rs4842471,RPS4XP15,Type 2 diabetes,1e-09,,,GCST90492734,38374256
rs10858821,LINC02458,Type 2 diabetes,2e-09,,,GCST90492734,38374256
rs17250160,ATP2B1-AS1,Type 2 diabetes,4e-08,,,GCST90492734,38374256
rs1316739,SOCS2,Type 2 diabetes,4e-10,,,GCST90492734,38374256
rs61939481,USP44,Type 2 diabetes,8e-11,,,GCST90492734,38374256
rs6538804,RMST,Type 2 diabetes,5e-25,,,GCST90492734,38374256
rs671,ALDH2,Type 2 diabetes,1e-14,,,GCST90492734,38374256
rs7307263,LINC01234,Type 2 diabetes,8e-10,,,GCST90492734,38374256
rs34965774,KSR2 - RFC5,Type 2 diabetes,6e-39,,,GCST90492734,38374256
rs77045000,UNC119B - ACADS,Type 2 diabetes,8e-14,,,GCST90492734,38374256
rs142775453,ACADS - SPPL3,Type 2 diabetes,6e-10,,,GCST90492734,38374256
rs73229142,SPPL3,Type 2 diabetes,4e-21,,,GCST90492734,38374256
rs572016,SPPL3,Type 2 diabetes,2e-17,,,GCST90492734,38374256
rs1520191,C12orf42,Type 2 diabetes,4e-13,,,GCST90492734,38374256
rs1426371,WSCD2,Type 2 diabetes,2.0000000000000003e-34,,,GCST90492734,38374256
rs3750971,TPCN2,Type 2 diabetes,2e-15,,,GCST90492734,38374256
rs28599796,MYEOV,Type 2 diabetes,5e-11,,,GCST90492734,38374256
rs3918292,CCND1,Type 2 diabetes,2e-19,,,GCST90492734,38374256
rs3918298,CCND1,Type 2 diabetes,3e-37,,,GCST90492734,38374256
rs12281701,LTO1,Type 2 diabetes,7e-12,,,GCST90492734,38374256
rs77464186,ARAP1,Type 2 diabetes,6e-88,,,GCST90492734,38374256
rs512780,RNF169,Type 2 diabetes,4e-09,,,GCST90492734,38374256
rs512780,XRRA1,Type 2 diabetes,4e-09,,,GCST90492734,38374256
rs673335,MOGAT2 - RN7SL786P,Type 2 diabetes,3e-11,,,GCST90492734,38374256
rs17749202,WNT11,Type 2 diabetes,1e-08,,,GCST90492734,38374256
rs61894507,EMSY,Type 2 diabetes,3e-13,,,GCST90492734,38374256
rs569296,TENM4,Type 2 diabetes,1e-09,,,GCST90492734,38374256
rs61901515,EEF1A1P49 - SNRPGP16,Type 2 diabetes,3e-08,,,GCST90492734,38374256
rs10830963,MTNR1B,Type 2 diabetes,4e-132,,,GCST90492734,38374256
rs11020132,MTNR1B,Type 2 diabetes,5e-10,,,GCST90492734,38374256
rs271035,MTNR1B - RPL26P31,Type 2 diabetes,3e-10,,,GCST90492734,38374256
rs141307757,SLC36A4 - DEUP1,Type 2 diabetes,1e-11,,,GCST90492734,38374256
rs57235767,SLC36A4 - DEUP1,Type 2 diabetes,7e-21,,,GCST90492734,38374256
rs634366,DYNC2H1,Type 2 diabetes,2e-11,,,GCST90492734,38374256
rs10891494,NCAM1,Type 2 diabetes,9e-09,,,GCST90492734,38374256
rs6589571,APOA5 - LNC-RHL1,Type 2 diabetes,2e-10,,,GCST90492734,38374256
rs529623,FXYD6-FXYD2,Type 2 diabetes,3e-18,,,GCST90492734,38374256
rs529623,FXYD2,Type 2 diabetes,3e-18,,,GCST90492734,38374256
rs1614264,VPS11,Type 2 diabetes,6e-13,,,GCST90492734,38374256
rs12789028,LTBP3,Type 2 diabetes,5e-27,,,GCST90492734,38374256
rs72924707,OVOL1 - CFL1,Type 2 diabetes,2e-09,,,GCST90492734,38374256
rs3814738,TMEM151A,Type 2 diabetes,2e-11,,,GCST90492734,38374256
rs73281645,IGF2BP3,Type 2 diabetes,4e-19,,,GCST90492734,38374256
rs227941,TRA2A - CLK2P1,Type 2 diabetes,1e-14,,,GCST90492734,38374256
rs35274205,LINC03007 - MIR148A,Type 2 diabetes,3e-14,,,GCST90492734,38374256
rs1534696,SNX10,Type 2 diabetes,2e-09,,,GCST90492734,38374256
rs6968655,LINC02981 - KIAA0087,Type 2 diabetes,2e-10,,,GCST90492734,38374256
rs74847755,JAZF1,Type 2 diabetes,2e-10,,,GCST90492734,38374256
rs860262,JAZF1,Type 2 diabetes,1.0000000000000001e-131,,,GCST90492734,38374256
rs917195,CRHR2,Type 2 diabetes,4e-27,,,GCST90492734,38374256
rs4720212,AOAH,Type 2 diabetes,1e-08,,,GCST90492734,38374256
rs13222509,LINC01449 - INHBA,Type 2 diabetes,1e-10,,,GCST90492734,38374256
rs10232743,URGCP-MRPS24,Type 2 diabetes,3e-08,,,GCST90492734,38374256
rs62460065,AEBP1,Type 2 diabetes,2e-12,,,GCST90492734,38374256
rs2908296,GCK,Type 2 diabetes,1e-14,,,GCST90492734,38374256
rs878521,CAMK2B,Type 2 diabetes,9.999999999999999e-51,,,GCST90492734,38374256
rs116913033,CAMK2B,Type 2 diabetes,2e-17,,,GCST90492734,38374256
rs77211442,ELK1P1 - ADCY1,Type 2 diabetes,3e-09,,,GCST90492734,38374256
rs11983595,LINC02838 - GDI2P1,Type 2 diabetes,2e-08,,,GCST90492734,38374256
rs7458670,DDX43P2 - VWC2,Type 2 diabetes,9e-13,,,GCST90492734,38374256
rs2237442,GRB10,Type 2 diabetes,2e-11,,,GCST90492734,38374256
rs720068,GRB10 - COBL,Type 2 diabetes,3e-12,,,GCST90492734,38374256
rs735048,COBL,Type 2 diabetes,2e-10,,,GCST90492734,38374256
rs10249231,CICP11 - PSPHP1,Type 2 diabetes,8e-13,,,GCST90492734,38374256
rs10950177,RNU6-832P - MTCO2P25,Type 2 diabetes,5e-08,,,GCST90492734,38374256
rs7790934,AUTS2,Type 2 diabetes,1e-43,,,GCST90492734,38374256
rs6460047,MLXIPL - VPS37D,Type 2 diabetes,1e-10,,,GCST90492734,38374256
rs13273592,TRIB1AL - LINC02964,Type 2 diabetes,3e-08,,,GCST90492734,38374256
rs17772814,CASC11,Type 2 diabetes,5e-19,,,GCST90492734,38374256
rs7824269,LINC00824,Type 2 diabetes,4e-16,,,GCST90492734,38374256
rs7828631,SNORA72 - EFR3A,Type 2 diabetes,2e-10,,,GCST90492734,38374256
rs12548678,ZFAT - MIR30B,Type 2 diabetes,2e-08,,,GCST90492734,38374256
rs73712230,RNU6-144P - ZYXP1,Type 2 diabetes,3e-08,,,GCST90492734,38374256
rs10096860,DNAJC8P3 - MIR4472-1,Type 2 diabetes,8e-10,,,GCST90492734,38374256
rs13267937,MAFA,Type 2 diabetes,3e-10,,,GCST90492734,38374256
rs149587589,WDR97,Type 2 diabetes,8e-09,,,GCST90492734,38374256
rs3757974,DGAT1,Type 2 diabetes,2.0000000000000002e-29,,,GCST90492734,38374256
rs7015203,ZNF251,Type 2 diabetes,3e-15,,,GCST90492734,38374256
rs7870869,H3P29 - LINC01230,Type 2 diabetes,9e-18,,,GCST90492734,38374256
rs145500238,GLIS3,Type 2 diabetes,1e-08,,,GCST90492734,38374256
rs4237150,GLIS3,Type 2 diabetes,5e-76,,,GCST90492734,38374256
rs7872172,DMAC1 - PTPRD,Type 2 diabetes,6e-11,,,GCST90492734,38374256
rs4740559,NFIB,Type 2 diabetes,3e-14,,,GCST90492734,38374256
rs1029016,BNC2,Type 2 diabetes,1e-09,,,GCST90492734,38374256
rs1330303,BNC2,Type 2 diabetes,1e-09,,,GCST90492734,38374256
rs12380322,HAUS6,Type 2 diabetes,9e-15,,,GCST90492734,38374256
rs6475477,FOCAD,Type 2 diabetes,2e-15,,,GCST90492734,38374256
rs28521526,IFNA21 - IFNWP15,Type 2 diabetes,5e-11,,,GCST90492734,38374256
rs1101330,CDKN2B-AS1,Type 2 diabetes,6e-24,,,GCST90492734,38374256
rs77728904,CDKN2B-AS1,Type 2 diabetes,1e-11,,,GCST90492734,38374256
rs139149176,CDKN2B-AS1,Type 2 diabetes,1e-11,,,GCST90492734,38374256
rs10811661,CDKN2B-AS1,Type 2 diabetes,0.0,,,GCST90492734,38374256
rs16907751,RNU6-1213P - Y_RNA,Type 2 diabetes,2e-09,,,GCST90492734,38374256
rs13266372,RALYL,Type 2 diabetes,9e-09,,,GCST90492734,38374256
rs2336987,CNBD1,Type 2 diabetes,5e-09,,,GCST90492734,38374256
rs2722885,ESRP1,Type 2 diabetes,2e-15,,,GCST90492734,38374256
rs2879813,NDUFAF6,Type 2 diabetes,1e-36,,,GCST90492734,38374256
rs2879813,TP53INP1,Type 2 diabetes,1e-36,,,GCST90492734,38374256
rs117440460,NDUFAF6,Type 2 diabetes,4e-17,,,GCST90492734,38374256
rs2514530,GDF6 - UQCRB,Type 2 diabetes,9e-09,,,GCST90492734,38374256
rs2679745,AZIN1,Type 2 diabetes,3e-11,,,GCST90492734,38374256
rs2679745,MAILR,Type 2 diabetes,3e-11,,,GCST90492734,38374256
rs28627996,LRP12,Type 2 diabetes,3e-08,,,GCST90492734,38374256
rs112515915,ZFPM2,Type 2 diabetes,2e-11,,,GCST90492734,38374256
rs3779767,ZFPM2,Type 2 diabetes,3e-09,,,GCST90492734,38374256
rs7821463,TRHR,Type 2 diabetes,3e-08,,,GCST90492734,38374256
rs4599845,TRPS1,Type 2 diabetes,7e-28,,,GCST90492734,38374256
rs720928,TRPS1,Type 2 diabetes,2e-09,,,GCST90492734,38374256
rs78086284,SLC30A8,Type 2 diabetes,3e-08,,,GCST90492734,38374256
rs147643814,SLC30A8,Type 2 diabetes,2e-08,,,GCST90492734,38374256
rs4876702,SLC30A8,Type 2 diabetes,2e-15,,,GCST90492734,38374256
rs10088883,SLC30A8,Type 2 diabetes,1e-22,,,GCST90492734,38374256
rs73317613,SLC30A8,Type 2 diabetes,9e-12,,,GCST90492734,38374256
rs13266634,SLC30A8,Type 2 diabetes,2e-219,,,GCST90492734,38374256
rs117215804,SLC30A8 - MED30,Type 2 diabetes,7e-11,,,GCST90492734,38374256
rs10955992,SNTB1 - RPL35AP19,Type 2 diabetes,2e-14,,,GCST90492734,38374256
rs16895840,HAS2-AS1,Type 2 diabetes,3e-09,,,GCST90492734,38374256
rs16895840,LINC02855,Type 2 diabetes,3e-09,,,GCST90492734,38374256
rs4871304,ZHX2,Type 2 diabetes,4e-08,,,GCST90492734,38374256
rs6470361,TRIB1AL,Type 2 diabetes,3e-08,,,GCST90492734,38374256
rs11063029,HSPA8P5 - CCND2-AS1,Type 2 diabetes,1.0000000000000001e-23,,,GCST90492734,38374256
rs117380042,CCND2-AS1,Type 2 diabetes,3e-09,,,GCST90492734,38374256
rs4238013,CCND2-AS1,Type 2 diabetes,7e-26,,,GCST90492734,38374256
rs7304270,CCND2,Type 2 diabetes,2.0000000000000002e-23,,,GCST90492734,38374256
rs7304270,CCND2-AS1,Type 2 diabetes,2.0000000000000002e-23,,,GCST90492734,38374256
rs76895963,CCND2,Type 2 diabetes,5e-236,,,GCST90492734,38374256
rs76895963,CCND2-AS1,Type 2 diabetes,5e-236,,,GCST90492734,38374256
rs3217860,CCND2,Type 2 diabetes,9e-51,,,GCST90492734,38374256
rs3217893,CCND2,Type 2 diabetes,1e-51,,,GCST90492734,38374256
rs3217907,CCND2,Type 2 diabetes,3.9999999999999996e-30,,,GCST90492734,38374256
rs142409867,FGF23 - FGF6,Type 2 diabetes,3e-13,,,GCST90492734,38374256
rs75291436,FGF6 - FERRY3,Type 2 diabetes,5e-08,,,GCST90492734,38374256
rs10849094,DYRK4,Type 2 diabetes,2e-08,,,GCST90492734,38374256
rs7969177,CHD4,Type 2 diabetes,8e-12,,,GCST90492734,38374256
rs77100210,YBX3 - LINC02366,Type 2 diabetes,4e-08,,,GCST90492734,38374256
rs2066827,CDKN1B,Type 2 diabetes,7e-16,,,GCST90492734,38374256
rs7303887,GPRC5D-AS1 - FAM234B,Type 2 diabetes,6e-10,,,GCST90492734,38374256
rs10893829,LINC02725,Type 2 diabetes,2e-21,,,GCST90492734,38374256
rs34086018,LINC02098 - ETS1,Type 2 diabetes,2e-08,,,GCST90492734,38374256
rs7104712,LINC02098 - ETS1,Type 2 diabetes,6.9999999999999995e-25,,,GCST90492734,38374256
rs11819995,ETS1,Type 2 diabetes,9e-24,,,GCST90492734,38374256
rs3935795,ETS1,Type 2 diabetes,4e-09,,,GCST90492734,38374256
rs2007537,CCDC77,Type 2 diabetes,2e-11,,,GCST90492734,38374256
rs10848958,PARP11-AS1 - HSPA8P5,Type 2 diabetes,7e-14,,,GCST90492734,38374256
rs75640507,HSPA8P5 - CCND2-AS1,Type 2 diabetes,1e-13,,,GCST90492734,38374256
rs4140660,HSPA8P5 - CCND2-AS1,Type 2 diabetes,3e-15,,,GCST90492734,38374256
rs10219589,HSPA8P5 - CCND2-AS1,Type 2 diabetes,1e-12,,,GCST90492734,38374256
rs1044531,AKNA,Type 2 diabetes,7e-10,,,GCST90492734,38374256
rs2274162,WHRN,Type 2 diabetes,4e-10,,,GCST90492734,38374256
rs7030607,ASTN2,Type 2 diabetes,1e-08,,,GCST90492734,38374256
rs700059,RABGAP1,Type 2 diabetes,1e-16,,,GCST90492734,38374256
rs7851052,DENND1A,Type 2 diabetes,2e-12,,,GCST90492734,38374256
rs2479106,DENND1A,Type 2 diabetes,2e-10,,,GCST90492734,38374256
rs59427698,LMX1B,Type 2 diabetes,2e-08,,,GCST90492734,38374256
rs35632228,LMX1B,Type 2 diabetes,2e-09,,,GCST90492734,38374256
rs11999061,SLC27A4 - URM1,Type 2 diabetes,2e-10,,,GCST90492734,38374256
rs10113902,FIBCD1,Type 2 diabetes,3e-16,,,GCST90492734,38374256
rs4382592,MED27,Type 2 diabetes,3e-12,,,GCST90492734,38374256
rs505922,ABO,Type 2 diabetes,5e-52,,,GCST90492734,38374256
rs459571,BRD3,Type 2 diabetes,4e-16,,,GCST90492734,38374256
rs72619339,RNU6ATAC - LINC02247,Type 2 diabetes,2e-08,,,GCST90492734,38374256
rs28533815,GPSM1,Type 2 diabetes,9e-101,,,GCST90492734,38374256
rs77813615,GPSM1,Type 2 diabetes,4e-17,,,GCST90492734,38374256
rs7022365,NALT1 - LINC01451,Type 2 diabetes,5e-17,,,GCST90492734,38374256
rs11257562,SEC61A2,Type 2 diabetes,1e-09,,,GCST90492734,38374256
rs11257655,CDC123 - RN7SL198P,Type 2 diabetes,1e-179,,,GCST90492734,38374256
rs2997064,RN7SL198P - CAMK1D,Type 2 diabetes,2e-08,,,GCST90492734,38374256
rs2815657,CAMK1D,Type 2 diabetes,5e-10,,,GCST90492734,38374256
rs11258435,BEND7,Type 2 diabetes,6e-14,,,GCST90492734,38374256
rs72802150,YWHAZP3 - PTF1A,Type 2 diabetes,1e-08,,,GCST90492734,38374256
rs117414485,C10orf67,Type 2 diabetes,2e-11,,,GCST90492734,38374256
rs11819063,MYO3A,Type 2 diabetes,8e-13,,,GCST90492734,38374256
rs1575972,CDKN2B-AS1 - DMRTA1,Type 2 diabetes,7e-32,,,GCST90492734,38374256
rs1472495,DMRTA1 - LINC01239,Type 2 diabetes,2e-08,,,GCST90492734,38374256
rs12553324,LINC01239 - SUMO2P2,Type 2 diabetes,9e-13,,,GCST90492734,38374256
rs17770336,LINGO2,Type 2 diabetes,3e-34,,,GCST90492734,38374256
rs10813516,HSPA8P17 - SLC25A6P2,Type 2 diabetes,5e-11,,,GCST90492734,38374256
rs10970761,HMGB3P23 - RNA5SP281,Type 2 diabetes,1e-08,,,GCST90492734,38374256
rs72709688,TRBV24OR9-2 - TRBV25OR9-2,Type 2 diabetes,2e-08,,,GCST90492734,38374256
rs12001437,RN7SKP114 - DCAF12,Type 2 diabetes,1.9999999999999998e-25,,,GCST90492734,38374256
rs10758321,RGP1 - NPR2,Type 2 diabetes,2e-15,,,GCST90492734,38374256
rs6476613,EBLN3P,Type 2 diabetes,1e-09,,,GCST90492734,38374256
rs1888832,PSAT1 - MTND2P8,Type 2 diabetes,2e-10,,,GCST90492734,38374256
rs67269808,KRT18P24 - CHCHD2P9,Type 2 diabetes,3e-35,,,GCST90492734,38374256
rs7861609,RPS19P6 - RPS20P25,Type 2 diabetes,3e-14,,,GCST90492734,38374256
rs815843,TLE1,Type 2 diabetes,2e-11,,,GCST90492734,38374256
rs2796441,TLE1-DT,Type 2 diabetes,5e-80,,,GCST90492734,38374256
rs2814834,SPATA31C2 - RPSAP49,Type 2 diabetes,4e-10,,,GCST90492734,38374256
rs10992408,RPL21P86 - BICD2,Type 2 diabetes,5e-09,,,GCST90492734,38374256
rs10821304,PTPDC1 - MIRLET7A1HG,Type 2 diabetes,1e-18,,,GCST90492734,38374256
rs10121760,AOPEP,Type 2 diabetes,5e-14,,,GCST90492734,38374256
rs113154802,PTCH1,Type 2 diabetes,1e-16,,,GCST90492734,38374256
rs4556142,CT70,Type 2 diabetes,3e-16,,,GCST90492734,38374256
rs4978775,EPB41L4B,Type 2 diabetes,5e-10,,,GCST90492734,38374256
rs10116566,ZNF618,Type 2 diabetes,5e-08,,,GCST90492734,38374256
rs12555274,CDKN2B-AS1,Type 2 diabetes,4e-135,,,GCST90492734,38374256
rs183862911,CDKN2B-AS1,Type 2 diabetes,8e-11,,,GCST90492734,38374256
rs80073370,LPL - RPL30P9,Type 2 diabetes,7e-19,,,GCST90492734,38374256
rs4872527,BIN3,Type 2 diabetes,1e-17,,,GCST90492734,38374256
rs17089546,NKX2-6 - STC1,Type 2 diabetes,3e-09,,,GCST90492734,38374256
rs73221948,CDCA2 - EBF2,Type 2 diabetes,5e-19,,,GCST90492734,38374256
rs17818197,EBF2,Type 2 diabetes,1e-14,,,GCST90492734,38374256
rs13250825,ELP3 - RPL5P22,Type 2 diabetes,3e-10,,,GCST90492734,38374256
rs2042073,TEX15 - PURG,Type 2 diabetes,2e-15,,,GCST90492734,38374256
rs7844647,RPL10AP3 - LINC01288,Type 2 diabetes,4e-10,,,GCST90492734,38374256
rs10092900,KCNU1 - SMARCE1P4,Type 2 diabetes,3e-27,,,GCST90492734,38374256
rs12680217,LINC01605,Type 2 diabetes,4e-21,,,GCST90492734,38374256
rs60128210,FGFR1 - LINC03042,Type 2 diabetes,3e-11,,,GCST90492734,38374256
rs78623944,SFRP1 - SNORD65B,Type 2 diabetes,5e-08,,,GCST90492734,38374256
rs7012759,GPAT4-AS1,Type 2 diabetes,7e-09,,,GCST90492734,38374256
rs75445792,GPAT4 - NKX6-3,Type 2 diabetes,3e-09,,,GCST90492734,38374256
rs11996576,NKX6-3,Type 2 diabetes,2e-21,,,GCST90492734,38374256
rs150015181,NKX6-3 - ANK1,Type 2 diabetes,2e-15,,,GCST90492734,38374256
rs508419,ANK1,Type 2 diabetes,2e-94,,,GCST90492734,38374256
rs74942620,LINC00968 - RPL37P6,Type 2 diabetes,3e-17,,,GCST90492734,38374256
rs10096191,EYA1,Type 2 diabetes,1e-09,,,GCST90492734,38374256
rs7813042,JPH1,Type 2 diabetes,3e-12,,,GCST90492734,38374256
rs2920928,HNF4G - RNU2-54P,Type 2 diabetes,3e-11,,,GCST90492734,38374256
rs62483173,ARF5,Type 2 diabetes,5e-24,,,GCST90492734,38374256
rs62483173,GCC1,Type 2 diabetes,5e-24,,,GCST90492734,38374256
rs2233580,PAX4,Type 2 diabetes,1e-179,,,GCST90492734,38374256
rs3824004,PAX4,Type 2 diabetes,4e-41,,,GCST90492734,38374256
rs34821625,LEP - RBM28,Type 2 diabetes,2e-10,,,GCST90492734,38374256
rs76485553,LEP - RBM28,Type 2 diabetes,1e-16,,,GCST90492734,38374256
rs11557287,NRF1,Type 2 diabetes,8e-09,,,GCST90492734,38374256
rs77792157,CPA1,Type 2 diabetes,4e-08,,,GCST90492734,38374256
rs4731702,KLF14 - LINC-PINT,Type 2 diabetes,3e-41,,,GCST90492734,38374256
rs13438418,BRAF - CCT4P1,Type 2 diabetes,4e-17,,,GCST90492734,38374256
rs6972751,ZNF746,Type 2 diabetes,2e-09,,,GCST90492734,38374256
rs55681398,GIMAP4 - TRPC6P3,Type 2 diabetes,4e-09,,,GCST90492734,38374256
rs62492368,AOC1,Type 2 diabetes,7.000000000000001e-24,,,GCST90492734,38374256
rs17857291,AGAP3,Type 2 diabetes,5e-08,,,GCST90492734,38374256
rs184163936,NOM1 - MNX1,Type 2 diabetes,3e-09,,,GCST90492734,38374256
rs887609,MNX1,Type 2 diabetes,2e-14,,,GCST90492734,38374256
rs78596384,MNX1,Type 2 diabetes,2e-16,,,GCST90492734,38374256
rs78596384,MNX1-AS1,Type 2 diabetes,2e-16,,,GCST90492734,38374256
rs6956046,UBE3C,Type 2 diabetes,2e-58,,,GCST90492734,38374256
rs17708276,MSRA,Type 2 diabetes,3e-08,,,GCST90492734,38374256
rs10086521,XKR6,Type 2 diabetes,1e-15,,,GCST90492734,38374256
rs12680692,LONRF1 - LINC03019,Type 2 diabetes,4e-17,,,GCST90492734,38374256
rs10087481,DLC1 - SGCZ,Type 2 diabetes,3e-12,,,GCST90492734,38374256
rs13262285,SGCZ,Type 2 diabetes,2e-12,,,GCST90492734,38374256
rs1978054,PCM1,Type 2 diabetes,2e-12,,,GCST90492734,38374256
rs117271404,ANK1,Type 2 diabetes,6e-12,,,GCST90492734,38374256
rs4454259,KAT6A,Type 2 diabetes,2e-08,,,GCST90492734,38374256
rs7845090,KCNB2,Type 2 diabetes,4e-09,,,GCST90492734,38374256
rs140727097,STAU2 - UBE2W,Type 2 diabetes,7e-10,,,GCST90492734,38374256
rs9987289,PPP1R3B-DT,Type 2 diabetes,1.0000000000000001e-24,,,GCST90492734,38374256
rs62496161,PPP1R3B-DT,Type 2 diabetes,9e-09,,,GCST90492734,38374256
rs4930141,KCNQ1,Type 2 diabetes,9e-17,,,GCST90492734,38374256
rs4930141,KCNQ1OT1,Type 2 diabetes,9e-17,,,GCST90492734,38374256
rs2073957,KCNQ1OT1,Type 2 diabetes,4e-15,,,GCST90492734,38374256
rs2073957,KCNQ1,Type 2 diabetes,4e-15,,,GCST90492734,38374256
rs231362,KCNQ1,Type 2 diabetes,4.0000000000000004e-60,,,GCST90492734,38374256
rs231362,KCNQ1OT1,Type 2 diabetes,4.0000000000000004e-60,,,GCST90492734,38374256
rs35889184,KCNQ1,Type 2 diabetes,3e-09,,,GCST90492734,38374256
rs35889184,KCNQ1OT1,Type 2 diabetes,3e-09,,,GCST90492734,38374256
rs2283205,KCNQ1,Type 2 diabetes,4e-10,,,GCST90492734,38374256
rs11023938,KCNQ1,Type 2 diabetes,2e-15,,,GCST90492734,38374256
rs2237884,KCNQ1,Type 2 diabetes,7e-27,,,GCST90492734,38374256
rs57274815,KCNQ1,Type 2 diabetes,2e-11,,,GCST90492734,38374256
rs140400323,KCNQ1,Type 2 diabetes,2e-16,,,GCST90492734,38374256
rs234860,KCNQ1,Type 2 diabetes,1e-22,,,GCST90492734,38374256
rs61869847,KCNQ1,Type 2 diabetes,1e-12,,,GCST90492734,38374256
rs76868685,KCNQ1,Type 2 diabetes,1e-08,,,GCST90492734,38374256
rs2237897,KCNQ1,Type 2 diabetes,0.0,,,GCST90492734,38374256
rs4930013,KCNQ1-AS1,Type 2 diabetes,2e-12,,,GCST90492734,38374256
rs4930013,KCNQ1,Type 2 diabetes,2e-12,,,GCST90492734,38374256
rs45477500,KCNQ1-AS1,Type 2 diabetes,1e-10,,,GCST90492734,38374256
rs45477500,KCNQ1,Type 2 diabetes,1e-10,,,GCST90492734,38374256
rs35723063,KCNQ1-AS1,Type 2 diabetes,2e-21,,,GCST90492734,38374256
rs116500286,KCNQ1-AS1,Type 2 diabetes,2e-38,,,GCST90492734,38374256
rs77355428,KCNQ1DN - CDKN1C,Type 2 diabetes,4e-14,,,GCST90492734,38374256
rs76653898,SLC22A18AS,Type 2 diabetes,3e-18,,,GCST90492734,38374256
rs2168101,LMO1,Type 2 diabetes,7e-13,,,GCST90492734,38374256
rs7110529,TRIM66,Type 2 diabetes,1.9999999999999998e-26,,,GCST90492734,38374256
rs10743108,ZNF143,Type 2 diabetes,1e-10,,,GCST90492734,38374256
rs3910384,WEE1,Type 2 diabetes,1e-09,,,GCST90492734,38374256
rs76789970,SBF2,Type 2 diabetes,3e-12,,,GCST90492734,38374256
rs7122422,SBF2,Type 2 diabetes,1e-08,,,GCST90492734,38374256
rs36090640,STARD13,Type 2 diabetes,1e-11,,,GCST90492734,38374256
rs9532707,ELF1,Type 2 diabetes,1e-08,,,GCST90492734,38374256
rs2806924,SIAH3 - ZC3H13,Type 2 diabetes,3e-15,,,GCST90492734,38374256
rs9316500,DLEU7,Type 2 diabetes,3.9999999999999997e-32,,,GCST90492734,38374256
rs9316500,DLEU1,Type 2 diabetes,3.9999999999999997e-32,,,GCST90492734,38374256
rs9568868,ZNF646P1 - LINC00558,Type 2 diabetes,2.0000000000000002e-23,,,GCST90492734,38374256
